Position,Track Name,Artist,Streams,Week,Month,Year,Artist Followers,Artist Genre,Artist Popularity,Track Popularity,Track Duration (ms),Album Name,Album Total Tracks,Album Released Date,Acousticness,Danceability,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
78,Jocelyn Flores,XXXTENTACION,2066317,1,January,2021,6973545,pop,87,84,215106,Divinely Uninspired To A Hellish Extent (Extended Edition),15,2019-11-22,0.604,0.459,0.575,0.0,3,0.0885,-4.858,1,0.0573,111.881,4,0.183
79,death bed (coffee for your head),Powfu,2065295,1,January,2021,1434127,contemporary country,92,75,147893,Dangerous: The Double Album,30,2021-01-08,0.216,0.635,0.772,0.0,7,0.285,-4.825,1,0.0279,119.017,4,0.948
80,gold rush,Taylor Swift,2062431,1,January,2021,14185824,dance pop,91,87,169333,Prisoner (feat. Dua Lipa),1,2020-11-20,0.0103,0.781,0.67,0.0,3,0.0761,-3.912,0,0.0452,127.99,4,0.595
81,‘tis the damn season,Taylor Swift,2015994,1,January,2021,42492747,canadian pop,96,88,212093,Holy,1,2020-09-18,0.196,0.673,0.704,0.0,6,0.0898,-8.056,1,0.36,86.919,4,0.372
82,GO (feat. Juice WRLD),The Kid LAROI,2015648,1,January,2021,15210607,rap,95,87,162802,Goosebumps (Remix),1,2021-01-15,0.418,0.841,0.593,0.0,1,0.124,-7.846,1,0.0379,124.917,4,0.808
83,Go Crazy,Chris Brown,2010900,1,January,2021,9875843,atl hip hop,91,83,237735,Life Is Good (feat. Drake),1,2020-01-10,0.0706,0.676,0.609,0.0,2,0.152,-5.831,0,0.481,142.037,4,0.508
84,hot girl bummer,blackbear,1996834,1,January,2021,31457549,canadian pop,91,88,178994,Monster,1,2020-11-20,0.0676,0.652,0.383,0.0,2,0.0828,-7.076,0,0.0516,145.765,4,0.549
85,Dont Start Now,Dua Lipa,1986446,1,January,2021,12773002,pop,91,89,174000,Fine Line,12,2019-12-13,0.122,0.548,0.816,0.0,0,0.335,-4.209,1,0.0465,95.39,4,0.557
86,Godzilla (feat. Juice WRLD),Eminem,1982314,1,January,2021,5873404,north carolina hip hop,94,80,122586,BLAME IT ON BABY (DELUXE),24,2020-08-04,0.0239,0.849,0.536,0.0,1,0.126,-7.307,1,0.349,141.964,4,0.308
87,Adderall (Corvette Corvette) - Remix,Popp Hunna,1969192,1,January,2021,4134752,alternative r&b,87,83,209273,BALLADS 1,12,2018-10-26,0.544,0.515,0.479,0.00598,3,0.191,-7.458,1,0.0261,88.964,4,0.284
88,Mood Swings (feat. Lil Tjay),Pop Smoke,1969064,1,January,2021,42492747,canadian pop,96,89,149297,Lonely (with benny blanco),1,2020-10-16,0.864,0.631,0.239,0.0,11,0.116,-7.071,0,0.0398,79.859,4,0.0927
89,Daisy,Ashnikko,1967847,1,January,2021,29035650,canadian contemporary r&b,98,64,198267,The Highlights,18,2021-02-05,0.0194,0.538,0.751,1.42e-06,10,0.145,-5.487,0,0.128,169.985,4,0.244
90,SLOW DANCING IN THE DARK,Joji,1955469,1,January,2021,2222748,chicago drill,88,78,172185,The Voice,16,2020-12-24,0.0439,0.877,0.677,0.0,5,0.0986,-4.969,0,0.356,144.941,4,0.627
91,POPSTAR (feat. Drake),DJ Khaled,1936654,1,January,2021,794720,sad rap,81,87,173333,death bed (coffee for your head),1,2020-02-08,0.731,0.726,0.431,0.0,8,0.696,-8.765,0,0.135,144.026,4,0.348
92,E-GIRLS ARE RUINING MY LIFE!,CORPSE,1930518,1,January,2021,964966,modern rock,75,84,218106,Dopamine,11,2015-10-16,0.00543,0.611,0.797,0.00137,6,0.26,-7.627,0,0.0533,120.041,4,0.518
93,"Sunday Best (Feeling Good, Like I Should)",Surfaces,1924716,1,January,2021,29035650,canadian contemporary r&b,98,67,269176,The Highlights,18,2021-02-05,0.415,0.773,0.815,0.0,0,0.087,-5.933,0,0.128,92.973,4,0.559
94,goosebumps,Travis Scott,1905076,1,January,2021,1360861,dmv rap,83,78,214692,"Gravity (feat. Tyler, The Creator)",1,2021-01-29,0.173,0.539,0.615,0.0056,1,0.144,-8.746,0,0.252,163.924,4,0.493
95,Electric Love,BØRNS,1893621,1,January,2021,1434127,contemporary country,92,76,156746,Dangerous: The Double Album,30,2021-01-08,0.46,0.633,0.664,0.0,10,0.108,-5.037,1,0.0294,115.058,4,0.268
96,No Role Modelz,J. Cole,1889253,1,January,2021,170586,social media pop,70,81,133661,Roadtrip,1,2021-02-05,0.316,0.459,0.581,0.0,10,0.124,-6.575,1,0.0713,176.195,4,0.49
97,Are You Bored Yet? (feat. Clairo),Wallows,1865727,1,January,2021,3321880,dance pop,81,85,177500,Skin,1,2021-01-22,0.428,0.557,0.457,0.0,7,0.0567,-5.372,1,0.0335,105.918,4,0.328
98,Whiskey Glasses,Morgan Wallen,1844977,1,January,2021,1709642,indie pop,78,83,178000,Nothing Happens,11,2019-03-22,0.156,0.682,0.683,2.32e-05,8,0.273,-6.444,0,0.0287,120.023,4,0.64
99,WHATS POPPIN,Jack Harlow,1834104,1,January,2021,1350194,australian hip hop,92,81,181688,F*CK LOVE,15,2020-07-24,0.157,0.487,0.74,0.0,6,0.612,-4.973,1,0.0944,73.779,4,0.522
100,If the World Was Ending - feat. Julia Michaels,JP Saxe,1824933,1,January,2021,29035650,canadian contemporary r&b,98,67,213525,The Highlights,18,2021-02-05,0.122,0.709,0.777,0.0,9,0.0883,-5.526,0,0.0444,107.943,4,0.6
101,Kacey Talk,YoungBoy Never Broke Again,1816702,1,January,2021,3957697,electropop,88,84,188343,everything means nothing,12,2020-08-21,0.125,0.782,0.559,0.0,6,0.385,-7.106,0,0.0767,129.992,1,0.685
102,Drankin N Smokin,Future,1813721,1,January,2021,20370,trap queen,72,78,187000,Buss It,1,2020-05-15,0.0593,0.956,0.502,0.0,9,0.238,-5.995,1,0.213,110.003,4,0.795
103,BICHOTA,KAROL G,1813069,1,January,2021,12773002,pop,91,85,207133,Fine Line,12,2019-12-13,0.0237,0.676,0.771,7e-06,8,0.102,-3.675,1,0.0483,99.048,4,0.569
104,Took Her To The O,King Von,1809967,1,January,2021,9190663,atl hip hop,89,80,193838,SAVAGE MODE II,15,2020-10-02,0.231,0.647,0.667,0.0,5,0.133,-5.563,1,0.304,172.08,4,0.704
105,Righteous,Juice WRLD,1808289,1,January,2021,84312,bedroom pop,76,86,210463,Put Your Records On,1,2020-04-24,0.0563,0.399,0.491,0.00089,6,0.11,-10.778,0,0.0538,91.066,4,0.151
106,Dance Monkey,Tones And I,1798212,1,January,2021,1867345,hip hop,80,72,136939,Time Today,1,2021-02-03,0.044,0.909,0.617,0.0,1,0.233,-7.736,1,0.401,136.924,4,0.301
107,Train Wreck,James Arthur,1796384,1,January,2021,4114880,brooklyn drill,94,84,216386,Meet The Woo,9,2019-07-26,0.212,0.548,0.805,0.000389,7,0.408,-5.732,1,0.351,142.094,4,0.648
108,ROXANNE,Arizona Zervas,1795605,1,January,2021,1434127,contemporary country,92,73,239120,Livin’ The Dream,1,2020-11-19,0.575,0.621,0.754,0.00484,7,0.213,-5.904,0,0.0269,127.036,4,0.441
109,Show Out (with Skepta & Pop Smoke),Kid Cudi,1793842,1,January,2021,5645011,dance pop,83,85,200221,POPSTAR (feat. Drake),1,2020-07-17,0.057,0.8,0.56,0.0,5,0.134,-4.818,0,0.261,163.071,4,0.45
110,Bandit (with YoungBoy Never Broke Again),Juice WRLD,1791105,1,January,2021,1434127,contemporary country,92,77,205453,If I Know Me,14,2018-04-27,0.657,0.631,0.591,0.0,7,0.11,-5.785,1,0.0277,97.074,4,0.489
111,BOP,DaBaby,1779188,1,January,2021,13136428,dance pop,91,83,176960,Slime & B,13,2020-05-08,0.316,0.755,0.578,0.0,0,0.25,-8.932,0,0.145,94.148,4,0.581
112,Dior,Pop Smoke,1771804,1,January,2021,30141465,latin,100,92,203200,EL ÚLTIMO TOUR DEL MUNDO,16,2020-11-27,0.0303,0.856,0.618,0.0,7,0.0866,-4.892,1,0.286,81.993,4,0.391
113,Ballin (with Roddy Ricch),Mustard,1761160,1,January,2021,5873404,north carolina hip hop,94,79,181714,Masterpiece,1,2021-01-15,0.0299,0.781,0.726,0.0,0,0.093,-4.213,1,0.0836,139.988,4,0.436
114,Rain On Me (with Ariana Grande),Lady Gaga,1758800,1,January,2021,4114880,brooklyn drill,94,84,213333,Shoot For The Stars Aim For The Moon,19,2020-07-03,0.487,0.48,0.602,0.0,10,0.0848,-6.335,0,0.368,179.798,4,0.269
115,Golden,Harry Styles,1752684,1,January,2021,6306433,emo rap,90,84,142000,Star Shopping,1,2019-04-19,0.0967,0.585,0.471,0.0184,4,0.115,-9.934,0,0.0616,93.099,4,0.323
116,Hit Different,SZA,1737646,1,January,2021,25390701,emo rap,94,85,166605,?,18,2018-03-16,0.258,0.74,0.613,0.00372,8,0.123,-4.88,1,0.145,75.023,4,0.473
117,Snowman,Sia,1735612,1,January,2021,14953236,latin,90,93,178946,BICHOTA,1,2020-10-23,0.212,0.863,0.666,0.000493,1,0.103,-4.158,0,0.152,163.908,4,0.838
