,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
179,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,138401,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
180,Ride It,Regard,136443,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
181,Be Alright,Dean Lewis,135912,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
182,Röda himlar,Thomas Stenström,135357,https://open.spotify.com/track/1kgwsfjRZQsySCXNyU8oRM
183,Lose Control,MEDUZA,134608,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
184,All Night Long (All Night) - Recorded at Spotify Studios Stockholm,Benjamin Ingrosso,134144,https://open.spotify.com/track/1I7arMzqZe0nxd9TfkG0Dt
185,PO PO PULL UP,Albin Myers,133586,https://open.spotify.com/track/6MBHUC8RKxwNa4iztDXeJp
186,Walk Em Down (feat. Roddy Ricch),NLE Choppa,132835,https://open.spotify.com/track/4cSSL3YafYjM3yjgFO1vJg
187,Bad Child,Tones And I,130490,https://open.spotify.com/track/1qCmZnC1FUpNgOydIzqIPC
188,Sweet but Psycho,Ava Max,130473,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
189,Dö ung,Hov1,130460,https://open.spotify.com/track/2OQgPPnwvacwYPs4CwRKjK
190,Det kommer aldrig va över för mig,Håkan Hellström,129271,https://open.spotify.com/track/3SjXx3rbNGk8nCho8YEoz5
191,Coming Home,Dimitri Vangelis & Wyman,129268,https://open.spotify.com/track/09sKH3nKtVZ6ovDReYRAu0
192,July,Noah Cyrus,129115,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr
193,Va Mig,Ant Wan,128295,https://open.spotify.com/track/5HsBJenkDnrzim7o7uKwQq
194,PT:1,Yasin,128251,https://open.spotify.com/track/0peCogN4G8UuuhSB9jPUnN
195,C'est La Vie,Asme,128180,https://open.spotify.com/track/6W54CskmwH3jKeyG0XEOQJ
196,Sci-fi,Adel,127511,https://open.spotify.com/track/1JEVK6gqfGPM5CIhGyIVnI
197,Slå mig hårt i ansiktet,Thomas Stenström,127246,https://open.spotify.com/track/2Lv9FudgITbthtKK1B5wxY
198,Jocelyn Flores,XXXTENTACION,127020,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
199,POWER,2.clock,126889,https://open.spotify.com/track/3axccWEcJ57jM1Te7vwnXB
200,Afterwork,Bolaget,126619,https://open.spotify.com/track/6709eMbfnuHS64RVhlYLty
