,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
144,Supercalifragili (feat. Annalisa & Luca Di Stefano),J-AX,290468,https://open.spotify.com/track/6ExLQlakJDGUxN5O567dAt
145,Rozzi,Paky,290119,https://open.spotify.com/track/3Y00k9cPoW8BnJesUEFoWn
146,Me Gusta,Shakira,288735,https://open.spotify.com/track/5Xhqh4lwJPtMUTsdBztN1a
147,Autostima,PSICOLOGI,287678,https://open.spotify.com/track/5qf1k7zubHxjR3uinHmIKg
148,Circles,Post Malone,286071,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
149,Breaking Me,Topic,284808,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
150,I Don't Care (with Justin Bieber),Ed Sheeran,284794,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
151,MADAME - L'anima (feat. Madame),Marracash,284754,https://open.spotify.com/track/3go5ZuMoFTKl5ugai8nAKi
152,"Alone, Pt. II",Alan Walker,284543,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3
153,OPS,Mr.Rain,282208,https://open.spotify.com/track/4D2snxPPfeYhKeZnGlYioU
154,Il tuo profumo,Fred De Palma,280006,https://open.spotify.com/track/0sqbGUEecNagMilnntIsuZ
155,Polvere e detriti (feat. Jake La Furia) - prod. Kanesh,Dani Faiv,279105,https://open.spotify.com/track/7irVEmqGdd1eqs7uqLCYKW
156,Stanza Singola (feat. Tommaso Paradiso),Franco126,275531,https://open.spotify.com/track/23hpOtox5sIuRqVBVVJxsO
157,22:22,Ghali,275496,https://open.spotify.com/track/3KWFaXjuWepDjS3GnHBF7V
158,Chic,Izi,274062,https://open.spotify.com/track/7jUJ2RmT4PFHHq4goMWqm3
159,m8nstar,tha Supreme,271457,https://open.spotify.com/track/3vPXCd0uNm66sbDEDG5Vwd
160,Memories,Maroon 5,271420,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
161,Senza Di Me (feat. Venerus & Franco126),Gemitaiz,271395,https://open.spotify.com/track/3xGD5KhnizETt7KQwxtUAc
162,Magnifico difetto,Benji & Fede,267789,https://open.spotify.com/track/0IKfkRzt3d1FoNla2dKi1J
163,Uno squillo,Capo Plaza,267600,https://open.spotify.com/track/7zivIUyCw9MmYftdcayXnN
164,Veleno 7,Gemitaiz,266867,https://open.spotify.com/track/2jkIbZ43eH3rM1yro2Ojzh
165,Twerk (con Boro Boro),MamboLosco,263246,https://open.spotify.com/track/4jiCUUfjuJoG03gnw3jj1r
166,Life Is Good (feat. Drake),Future,263211,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
167,Rondini Al Guinzaglio,Ultimo,262741,https://open.spotify.com/track/1jhHPnmgZepKU8qX4VhRZ0
168,Pianeti,Ultimo,261079,https://open.spotify.com/track/2w5wtWq30yTkNSG9YjMFvW
169,Calma - Remix,Pedro Capó,260406,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
170,D'estate non vale (feat. Ana Mena),Fred De Palma,260229,https://open.spotify.com/track/5IbiQAbMBe5T2K67mCAIx3
171,All Around The World (La La La),R3HAB,259233,https://open.spotify.com/track/02itaCXOdC54J0ISjqqFAp
172,China,Anuel AA,258824,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
173,Look Back at It (feat. CAPO PLAZA),A Boogie Wit da Hoodie,258740,https://open.spotify.com/track/34Jnbbi34tPtYdutY5Pd6G
174,HO PAURA DI USCIRE 2 - prod. Mace,MACHETE,256973,https://open.spotify.com/track/0nFCpnM7nistUWXRZpzOWM
175,Fuori E Dentro (feat. tha Supreme),Gemitaiz,256663,https://open.spotify.com/track/34UHhwlly3SHryWuVfMOJm
176,I Tuoi Particolari,Ultimo,256500,https://open.spotify.com/track/0psAGFzUF64N2Ae4gMExzu
177,sw1n6o - feat. Salmo,tha Supreme,254778,https://open.spotify.com/track/0I26eEAwEoii0wHuFqwhYO
178,Don't Call Me Up,Mabel,253429,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
179,Chance (feat. Capo Plaza),Shiva,252801,https://open.spotify.com/track/7CQwJNaHvxUPye0X7bTh7g
180,On Gang,Thelonious B.,250394,https://open.spotify.com/track/4NR1cjgeRzp0KSTwqiJfWj
181,BUTTERFLY EFFECT,Travis Scott,249296,https://open.spotify.com/track/6xcJyGpfZbuuiequtnlKt4
182,MARYLEAN (feat. Marracash) - prod. Low Kidd,MACHETE,247645,https://open.spotify.com/track/28fRkU3vhqAJdl9i9458pQ
183,Amici,Massimo Pericolo,247267,https://open.spotify.com/track/7aVX95NjONZszSeb8vJZF3
184,Brivido,Guè Pequeno,247084,https://open.spotify.com/track/7fH13hSOyNoeiDGbjEnTUC
185,Sole a mezzanotte,Gio Montana,247063,https://open.spotify.com/track/41wB7yyQG8YR284muocSv0
186,bad guy,Billie Eilish,245833,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
187,La musica non c'è,Coez,240252,https://open.spotify.com/track/7MMJa7cjMadOSR6CFWvB1x
188,oh 9od - feat. Nayt,tha Supreme,238873,https://open.spotify.com/track/5Qy9jtZdxUnFXmgPp3u5VZ
189,POLKA,Rosa Chemical,238601,https://open.spotify.com/track/20jG7WodtS52iOnWyGE1l4
190,C'est la vie,Achille Lauro,238151,https://open.spotify.com/track/6qrzETcLAmhkNW5PbkwcJI
191,Be Kind (with Halsey),Marshmello,237150,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
192,Holly & Benji (feat. Capo Plaza & Shiva),AVA,236419,https://open.spotify.com/track/4tchNSV4eZQ9vG4GNA4iJa
193,Girasoli,Emanuele Aloia,234463,https://open.spotify.com/track/3lumKk7Mrt6KhFDZURTv0t
194,MITRA,Sapobully,233070,https://open.spotify.com/track/1sTdhkO7yde0DZc5F9cUMs
195,STARGAZING,Travis Scott,231770,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
196,Non Abbiamo Età,Luche,230914,https://open.spotify.com/track/0NwuXciw6eQc4edjwSBnV3
197,La Mia Hit (feat. Max Pezzali),J-AX,229692,https://open.spotify.com/track/4bMfWDvKPCFQ2df7Qf2UTs
198,Na Na Na,Holden,229221,https://open.spotify.com/track/3arKLum0IMREFOSq3OkpaF
199,FIORI,Giaime,229218,https://open.spotify.com/track/500c6DLy4ag8gFAnkuzTxP
200,Shallow,Lady Gaga,229006,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
