,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
177,"Knocked Off","YoungBoy Never Broke Again",1799903,https://open.spotify.com/track/3a0Wh4w8gkib4KRfWGfG0P
178,Panini,"Lil Nas X",1798990,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv
179,"You Need To Calm Down","Taylor Swift",1786865,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
180,"Sanguine Paradise","Lil Uzi Vert",1785336,https://open.spotify.com/track/3XiNC94b4Tq1xwv70sQJGN
181,"Say You Won't Let Go","James Arthur",1784274,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
182,Happier,Marshmello,1780792,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
183,Bang!,AJR,1779166,https://open.spotify.com/track/53BHUFdQphHiZUUG3nx9zn
184,Moonlight,XXXTENTACION,1778520,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
185,"It's You","Ali Gatie",1772741,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
186,"CITY OF ANGELS",24kGoldn,1770445,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
187,Juicy,"Doja Cat",1766366,https://open.spotify.com/track/7f5trao56t7sB7f14QDTmp
188,"Old Town Road - Remix","Lil Nas X",1759937,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
189,"bury a friend","Billie Eilish",1757823,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
190,"Lean Wit Me","Juice WRLD",1745716,https://open.spotify.com/track/3oDkdAySo1VQQG0ptV7uwa
191,"Never Seen the Rain","Tones And I",1743945,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
192,"Yummy - Summer Walker Remix","Justin Bieber",1741324,https://open.spotify.com/track/2FBpJGt00G0h1q0RHuqaGO
193,"Best Part (feat. Daniel Caesar)",H.E.R.,1737229,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
194,"Yes Indeed","Lil Baby",1727609,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
195,I.F.L.Y.,Bazzi,1719641,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD
196,"Life Is Good (feat. Drake, DaBaby & Lil Baby) - Remix",Future,1704726,https://open.spotify.com/track/4iiWcajF1fEUpwcUewc464
197,"Hot (feat. Gunna)","Young Thug",1699067,https://open.spotify.com/track/5Z8HZM6iQMhhqyPcCGY5g9
198,"DTB 4 Life","A Boogie Wit da Hoodie",1689668,https://open.spotify.com/track/4CXSzoyTD2MmedFArsSIUp
199,Better,Khalid,1679669,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
200,"Into the Unknown","Idina Menzel",1674389,https://open.spotify.com/track/3Z0oQ8r78OUaHvGPiDBR3W
